RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Fernando Mendoza,Indiana,1st,4JR,6046,236,DNP (DNP),91/2,31 7/8,76 3/4,22.56
2,Ty Simpson,Alabama,2nd,4JF,6011,211,DNP (DNP),9 3/8,311/2,761/2,23.34
3,Garrett Nussmeier,LSU,3rd,5SR,6015,203,DNP (DNP),91/8,30 3/8,751/4,24.21
4,Drew Allar,Penn State,3rd-4th,4SR,6052,228,DNP (DNP),97/8,32 7/8,80,22.12
5,Cole Payton,North Dakota State,4th,5SR,6025,232,4.56 (1.57),101/4,33,78 3/4,23.49
6,Carson Beck,Miami,4th-5th,6SR,6046,233,DNP (DNP),10,30 5/8,75,24.42
7,Taylen Green,Arkansas,4th-5th,5SR,6057,227,4.36 (1.55),97/8,34 3/4,83 3/4,23.51
8,Cade Klubnik,Clemson,5th-6th,4SR,6022,207,4.69 (1.58),9 3/8,311/8,771/4,22.53
9,Haynes King,Georgia Tech,6th-7th,6SR,6023,212,4.46 (1.55),9,31 7/8,761/2,25.28
10,Joe Fagnano,UConn,7th,7SR,6032,226,4.83 (1.67),91/4,31 3/8,79 1/2,25.06
11,Joey Aguilar,Tennessee,7th-FA,7SR,6032,229,DNP (DNP),95/8,31 3/4,77 3/8,24.85
12,Sawyer Robertson,Baylor,7th-FA,5SR,6036,216,4.64 (1.61),91/2,321/2,79,23.22
13,Athan Kaliakmanis,Rutgers,7th-FA,5SR,6024,216,4.92 (1.74),91/8,32 7/8,791/8,22.67
14,Luke Altmyer,Illinois,7th-FA,5SR,6016,210,4.72 (1.64),9,30 3/8,74 3/4,23.50
15,Jack Strand,MSU Moorhead,7th-FA,4SR,6037,243,4.78 (1.69),10,32 3/4,75 7/8,21.83
16,Diego Pavia,Vanderbilt,7th-FA,6SR,5101,203,4.83 (1.65),95/8,29 5/8,73 5/8,24.18
17,Mark Gronowski,Iowa,7th-FA,6SR,6021,226,4.71 (1.60),101/2,32 3/8,77 3/4,24.55
18,Jalon Daniels,Kansas,FA,6SR,6005,219,4.65 (163),95/8,30 3/8,76 3/4,23.48
19,Behren Morton,Texas Tech,FA,5SR,6021,218,4.89 (1.69),91/2,311/4,75 7/8,24.26
20,Maverick Mcivor,Western Kentucky,FA,7SR,6020,209,4.94 (1.75),9,311/4,751/2,25.67
