RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Carnell Tate,Ohio State,1st,3JR,6022,192,4.53 (1.61),10 1/4,32,78 1/8,21.26
2,Makai Lemon,USC,1st,3JR,5111,194,4.50 (1.59),9,30 5/8,73 1/4,21.89
3,Jordyn Tyson,Arizona State,1st-2nd,4JR,6021,203,DNP (DNP),9 1/8,30 1/4,75 1/4,21.69
4,Kc Concepcion,Texas A&M,1st-2nd,3JR,5115,196,DNP (DNP),9 1/4,30 5/8,74 7/8,21.58
5,Omar Cooper Jr.,Indiana,1st-2nd,4JR,600,199,4.42 (1.55),9 3/4,30 1/2,75 1/4,22.36
6,Denzel Boston,Washington,1st-2nd,4JR,6035,212,DNP (DNP),9 3/4,32 3/8,77 3/4,22.38
7,Germie Bernard,Alabama,2nd,4SR,601,206,4.48 (1.52),9 7/8,30 7/8,74 7/8,22.39
8,Chris Bell,Louisville,2nd,4SR,601,222,DNP (DNP),10,31 3/4,76 3/4,21.88
9,Malachi Fields,Notre Dame,2nd-3rd,5SR,6044,218,4.61 (163),9,32 1/2,79,22.66
10,Antonio Williams,Clemson,2nd-3rd,4JR,5114,187,4.41 (1.55),9 3/8,31 1/8,76,21.77
11,De'Apos;Zhaun Stribling,Ole Miss,2nd-3rd,5SF,6022,207,4.36 (1.53),10,31 5/8,76 7/8,23.35
12,Elijah Sarratt,Indiana,2nd-3rd,4SR,6024,207,4.53 (1.64),10,31 1/4,75 3/4,22.90
13,Ted Hurst,Georgia State,3rd,4SR,6037,206,4.42 (1.55),9 3/4,32 5/8,79 7/8,21.80
14,Zachariah Branch,Georgia,3rd,3JR,5085,177,4.35 (1.50),9,29 5/8,72 3/8,22.07
15,Brenen Thompson,Mississippi State,3rd,4SR,509,164,4.26 (1.54),9,29 1/2,71 3/8,22.75
16,Bryce Lance,North Dakota State,3rd-4th,5SR,6033,204,4.34 (1.49),9 3/8,33 1/4,79 1/2,23.67
17,Chris Brazzell Ii,Tennessee,3rd-4th,4JR,6041,198,4.37 (1.52),9,33 1/8,80 1/8,22.50
18,Deion Burks,Oklahoma,3rd-4th,5SF,509,180,4.30 (1.49),9 5/8,29 1/2,72 3/4,23.29
19,Skyler Bell,UConn,4th,5SR,5115,192,4.40 (1.52),10,31 1/8,77,23.80
20,Colbie Young,Georgia,4th-5th,5SR,6046,218,4.49 (1.59),9 1/2,32 1/4,76 7/8,23.75
21,Malik Benson,Oregon,4th-5th,5SR,600,189,4.37 (1.55),8 7/8,32 3/8,78 1/8,23.52
22,Kendrick Law,Kentucky,4th-5th,4SR,5113,203,4.45 (1.56),9 5/8,31 1/4,76,21.86
23,Reggie Virgil,Texas Tech,5th,4SR,6025,187,4.57 (1.58),9 1/4,31 1/4,75 7/8,21.94
24,Ja'Kobi Lane,USC,5th,3JR,6043,200,4.47 (1.58),10 1/2,33 1/8,80 3/4,21.71
25,Kevin Coleman Jr.,Missouri,5th-6th,4SR,510,178,4.41 (1.57),9 1/2,30 1/8,74,22.62
26,Jeff Caldwell,Cincinnati,5th-6th,5SR,6053,216,4.31 (1.48),9 3/4,32 5/8,78 1/8,23.14
27,Cyrus Allen,Cincinnati,5th-6th,4SR,511,183,4.49 (1.56),9 1/8,30 7/8,73 5/8,23.19
28,Josh Cameron,Baylor,6th,5SF,601,220,DNP (DNP),10 1/4,33 3/8,81 3/8,23.10
29,J. Michael Sturdivant,Florida,6th,5SR,6027,207,4.40 (153),9 1/2,33,78 1/2,23.63
30,Kaden Wetjen,Iowa,6th,6SF,5093,193,4.47 (1.57),8 1/2,30,72,24.12
31,Caleb Douglas,Texas Tech,6th-7th,4SR,6034,206,4.39 (1.55),10 1/8,33,80 3/8,22.62
32,Harrison Wallace Iii,Ole Miss,6th-7th,5SR,511,192,4.54 (1.58),8 7/8,32 1/4,76,23.00
33,Jordan Hudson,SML,6th-7th,4SR,601,199,4.58 (1.63),9 1/4,31 3/8,74 3/4,22.42
34,Zavion Thomas,LSU,7th,4SR,5103,190,4.28 (1.52),9,30 1/2,73 1/8,22.19
35,Vinny Anthony Ii,Wisconsin,7th-FA,4SR,511,181,4.53 (1.58),9 1/8,31 1/2,75 3/4,22.82
