RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Mansoor Delane,LSU,1st,4SR,5116,182,4.38 (1.50),9,30 3/4,74.75,22.35
2,Jermod McCoy,Tennessee,1st,3JR,6006,192,4.40 (1.52),9,31 5/8,77,20.68
3,Chris Johnson,San Diego State,1st-2nd,4SR,6003,193,4.40 (1.54),9 7/8,31 1/4,76 3/8,21.45
4,Avieon Terrell,Clemson,1st-2nd,3JR,5110,184,4.64 (1.59),8 5/8,31 1/2,75 1/2,21.28
5,Colton Hood,Tennessee,1st-2nd,3SC,5115,193,4.44 (1.54),9,31 3/4,74 7/8,21.16
6,D'Angelo Ponds,Indiana,2nd,3JR,5085,180,4.36 (1.52),9 5/8,29 3/8,72 1/4,21.27
7,Brandon Cisse,South Carolina,2nd,3JR,5116,189,4.41 (1.53),8 1/2,31 3/8,75 7/8,20.81
8,Treydan Stukes,Arizona,2nd-3rd,6SR,6005,190,4.33 (1.50),8 5/8,31 3/4,76 5/8,24.6
9,Keith Abney II,Arizona State,2nd-3rd,3JR,5097,188,4.45 (1.57),9 3/4,30 1/4,73 5/8,21.28
10,Davison Igbinosun,Ohio State,2nd-3rd,4SR,602,189,4.45 (1.58),9 1/8,33,78 5/8,22.03
11,Malik Muhammad,Texas,3rd,3JR,6000,182,4.42 (1.51),9 7/8,32 1/2,77 1/4,21.6
12,Chandler Rivers,Duke,3rd-4th,4SR,5094,185,4.40 (1.52),9 1/2,29 3/8,73,22.52
13,Daylen Everette,Georgia,3rd-4th,4SF,6012,196,4.38 (1.54),9 5/8,31 7/8,77 3/4,21.96
14,Tacario Davis,Washington,4th,4SR,6037,194,4.41 (1.59),9 1/4,33 7/8,80 7/8,21.68
15,Julian Neal,Arkansas,4th,5SR,6015,203,4.49 (1.59),9 1/2,33 1/4,79 1/4,23.19
16,Devin Moore,Florida,4th,4SF,6032,198,4.50 (1.56),8 5/8,31 7/8,76 7/8,22.54
17,Jadon Canady,Oregon,4th-5th,5SR,5104,182,4.47 (1.67),9 1/2,30 3/8,73 3/4,22.98
18,Ephesians Prysock,Washington,4th-5th,4SR,6033,196,4.45 (1.56),9 7/8,33 1/2,80 1/2,23.1
19,Latrell Mccutchin SR.,Houston,4th-5th,5SR,6017,191,4.43 (1.58),8 5/8,31 5/8,77 3/4,23.44
20,Charles Demmings,Stephen F. Austin,5th,5SR,6012,193,4.41 (1.55),10 1/8,32 1/8,77 3/4,23.05
21,Will Lee III,Texas A&M,5th,4SR,6016,199,4.40 (1.58),9 3/4,32,77 1/2,22.07
22,Avery Smith,Toledo,5th-6th,5SR,6024,191,4.48 (1.60),9 3/8,32 1/2,79 1/8,24.03
23,Thaddeus Dixon,North Carolina,5th-6th,4SR,5117,188,4.38 (1.55),8 3/4,29 7/8,72 3/4,21.65
24,TJ Hall,Iowa,5th-6th,4SR,5117,192,4.38 (1.53),9 1/4,30 3/8,73 7/8,22.28
25,Collin Wright,Tennessee,6th,5SR,5116,193,4.43 (1.57),9,30 3/4,75 1/2,22.88
26,Hezekiah Masses,California,6th,4SR,6005,179,4.46 (1.57),8 1/4,31 1/4,76 3/4,21.81
27,Domani Jackson,Alabama,6th-7th,4SR,6006,194,4.41 (1.55),9 1/8,31 1/8,73 3/4,23.40
28,Andre Fuller,Toledo,6th-7th,6SR,6010,200,4.49 (1.56),9 3/8,30 3/4,76 3/4,24.04
29,Toriano Pride Jr.,Missouri,6th-7th,4SR,5103,185,4.32 (1.51),9 1/4,31,75 7/8,22.35
30,Lorenzo Styles Jr.,Ohio State,7th,5SR,6004,194,4.27 (1.49),9 1/2,31 5/8,77 5/8,23.62
31,Marcus Allen,North Carolina,7th-FA,4SR,6016,187,4.50 (1.64),8 1/2,32 1/2,78 3/4,21.99
32,Ceyair Wright,Nebraska,7th-FA,5SR,6000,185,4.55 (1.67),9,31 1/8,75 1/8,23.34
33,Ahmari Harvey,Georgia Tech,7th-FA,5SR,5113,187,4.52 (1.52),9 3/8,30 3/8,73 5/8,23.08
34,Jaylon Guilbeau,Texas,7th-FA,4SR,5111,187,4.53 (1.62),9 1/4,30 1/8,74 1/2,22.07
35,Brent Austin,California,FA,4SR,5110,180,4.45 (1.56),8 1/8,30 1/4,74 1/8,22.34
36,Tyreek Chappell,Texas A&M,FA,5SR,5103,188,4.53 (1.54),8 7/8,30 1/4,73 7/8,23.42
37,Michael Coats Jr.,West Virginia,FA,6SR,5092,184,4.40 (1.52),9 1/4,31 1/2,71 3/4,24.84
38,Kolbey Taylor,Vanderbilt,FA,5SR,6026,191,4.63 (1.54),9 1/2,33 7/8,80 3/8,23.76
39,Ayden Garnes,Arizona,FA,5SR,5112,181,4.41 (1.58),8 5/8,31 1/4,74 1/2,23.09
40,Jalen McMurray,Tennessee,FA,5SR,5110,184,4.56 (1.54),8 3/4,30 1/2,73,23.29
41,Jeadyn Lukus,Clemson,FA,4SR,6020,205,4.41 (1.46),9 1/4,32 3/4,79 1/4,22.19
42,Mory Bamba,BYU,FA,7SR,6020,193,4.29 (1.46),9 3/8,31,75 1/4,25.42
49,DeVonta Smith,Notre Dame,FA,5SR,5106,186,4.57 (1.58),9 3/8,31 1/4,75 1/2,23
54,Devon Marshall,NC State,FA,4SR,5100,194,4.64 (1.59),8 3/4,30 7/8,74 3/4,23
75,DJ Harvey,USC,FA,5SR,5100,189,4.53 (1.62),8 1/2,28 7/8,70 5/8,23
120,Josh Moten,Southern Miss,FA,4SR,5115,187,4.71 (1.60),8 3/4,29 1/2,73 1/2,23
