RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Kayden Mcdonald,Ohio State,1st-2nd,3JR,602,326,DNP (DNP),10,32 3/8,78 1/2,21.12
2,Peter Woods,Clemson,1st-2nd,3JR,6024,298,DNP (1.67),9 1/8,311/4,76 7/8,21.13
3,Christen Miller,Georgia,2nd,4JR,603,321,DNP (DNP),10,33,80.75,21.7
4,Caleb Banks,Florida,2nd-3rd,5SF,606,327,5.04 (1.76),10 7/8,351/4,85 7/8,23.12
5,Lee Hunter,Texas Tech,2nd-3rd,5SR,6034,318,5.18 (1.79),9 1/4,331/4,81,23.81
6,Domonique Orange,Iowa State,2nd-3rd,4SR,6023,322,DNP (DNP),10 1/4,33 3/8,80 7/8,22.1
7,Tyler Onyedim,Texas A&M,3rd,5SR,6034,290,5.07 (1.69),10 1/8,34 1/4,81 3/8,22.94
8,Chris Mcclellan,Missouri,3rd-4th,4SR,603,313,5.05 (1.80),11,34,83 1/2,22.52
9,Darrell Jackson Jr.,Florida State,4th,5SR,6054,315,DNP (DNP),11 1/8,35 1/4,86 1/2,22.99
10,Gracen Halton,Oklahoma,4th,4SR,6025,293,4.82 (1.70),10,31 1/2,77 1/4,22.24
11,Albert Regis,Texas A&M,4th-5th,5SR,6013,295,4.88 (1.72),9 5/8,32,77 1/8,22.93
12,Rayshaun Benny,Michigan,4th-5th,5SR,6032,298,DNP (DNP),9 1/4,33 3/8,81 5/8,23.96
13,Nick Barrett,South Carolina,5th,5SR,6027,312,5.10 (1.69),10,33 1/2,80 3/4,22.74
14,Kaleb Proctor,Southeastern Louisiana,5th,4SR,6017,291,4.79 (1.68),9 1/2,33,79 3/4,21.99
15,Cameron Ball,Arkansas,5th,5SR,603,308,5.10 (1.79),9 1/2,33 1/8,79 7/8,23.17
16,Demonte Capehart,Clemson,5th-6th,6SR,6047,313,4.85 (1.71),10 1/4,34 1/2,84 1/2,23.76
17,Zane Durant,Penn State,5th-6th,4SF,6011,290,4.75 (1.66),10 5/8,31 7/8,77 7/8,21.96
18,Rene Konga,Louisville,5th-6th,6SR,6036,298,4.79 (1.60),9 1/2,33 5/8,81,23.44
19,Brandon Cleveland,NC State,6th,4SR,6030,307,5.12 (1.78),9 1/4,32 3/8,77 1/4,21.65
20,Bryson Eason,Tennessee,6th,6SR,6022,323,5.09 (1.78),10,33 1/8,78 3/4,24.25
21,Landon Robinson,Navy,6th,4SR,5112,293,4.87 (1.65),9 1/8,31 3/4,77 1/4,23.30
22,Tim Keenan Iii,Alabama,6th-7th,5SR,6011,327,5.31 (1.83),8 3/4,30 1/2,77,23.37
23,David Gusta,Kentucky,6th-7th,5SR,6023,308,4.88 (1.68),10,31 1/8,76 1/4,22.83
24,Anterio Thompson,Washington,6th-7th,4SR,6017,306,4.73 (1.74),10,33 1/2,80 5/8,23.48
25,Jackie Marshall,Baylor,7th,5SR,6024,293,4.88 (1.69),9 5/8,32,78,22.99
26,Gary Smith Iii,UCLA,7th,6SR,601,319,DNP (DNP),9 3/4,33 1/2,80 7/8,24.47
27,Damonic Williams,Oklahoma,7th,4SR,601,305,DNP (DNP),10,33 1/8,79 7/8,21.63
28,Skyler Gill-Howard,Texas Tech,7th-FA,5SR,6005,280,5.06 (1.80),9 1/4,31 1/8,76 3/8,23.53
29,Jordan Van Den Berg,Georgia Tech,7th-FA,6SR,6032,310,4.94 (1.61),9 3/8,32 1/8,77,24.03
30,Dontay Corleone,Cincinnati,7th-FA,5SR,6004,340,DNP (DNP),9 7/8,32,77 1/2,23.71
31,James Thompson Jr.,Illinois,7th-FA,6SR,6055,308,5.00 (1.75),9,31 3/8,79 1/8,23.65
32,Zxavian Harris,Ole Miss,FA,4SR,6076,330,DNP (DNP),10,34.625,83.75,22.50
33,Deven Eastern,Minnesota,FA,5SR,605,315,DNP (DNP),10,34,82 1/2,23.05
34,Aaron Hall,Duke,FA,5SR,604,297,5.04 (1.66),10,33,80.625,23.01
35,Jayden Loving,Wake Forest,FA,5SR,6013,309,4.82 (1.64),9 3/8,30 1/4,77 3/8,23.04
36,Stephen Daley,Indiana,FA,4SF,6010,276,DNP (DNP),9 1/8,31.875,79.625,22.62
37,Bobby Jamison-Travis,Auburn,FA,6SR,6033,335,5.25 (1.80),9 7/8,34 3/8,83,24.99
38,Jalen Hunt,Cincinnati,FA,7SR,6023,310,4.99 (1.71),9,32.5,78 7/8,24.67
39,Tywone Malone Jr.,Ohio State,FA,4SR,6041,305,5.12 (1.87),8 3/4,33,79 1/8,22.98
40,David Blay Jr.,Miami,FA,5SR,6023,292,5.07 (1.74),10 1/4,32,78,23.23
