RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Caleb Downs,Ohio State,1st,3JR,5116,206,DNP (DNP),9 1/2,30 1/4,73 1/4,21.37
2,Dillon Thieneman,Oregon,1st-2nd,3JR,6001,201,4.35 (1.52),9 1/8,31 7/8,78 1/8,21.71
3,Emmanuel Mcneil-Warren,Toledo,1st-2nd,4SR,6034,201,4.52 (1.58),9 1/4,32 1/2,78 1/4,22.29
4,Keionte Scott,Miami,2nd-3rd,6SR,5112,191,4.33 (1.53),9 7/8,31 3/4,76 5/8,24.7
5,A.J. Haulcy,LSL,2nd-3rd,4SR,5115,215,4.52 (1.62),9 1/4,30 7/8,75 3/8,22.28
6,Zakee Wheatley,Penn State,3rc,5SR,6031,202,4.62 (1.64),9 1/2,31,76 3/8,24.15
7,Bud Clark,TCL,3rd,6SR,6007,188,4.41 (1.56),9 1/8,31 5/8,77,23.97 
8,Jalon Kilgore,South Carolina,3rd,3JR,6013,210,4.40 (1.56),9 3/8,33,79 1/4,21.24
9,Genesis Smith,Arizona,4th,3JR,6021,205,4.50 (1.53),9 1/4,32 7/8,79 1/4,21.46 
10,Kamari Ramsey,USC,4th,4JR,6002,202,4.47 (1.57),9 1/4,31,74 5/8,21.66 
11,Jakobe Thomas,Miami,4th-5th,5SR,6012,214,4.57 (1.63),10 5/8,31 7/8,76 7/8,22.81
12,VJ Payne,Kansas State,4th-5th,4SR,6033,206,4.40 (1.52),9 1/2,33 3/4,80 3/4,22.1
13,Michael Taaffe,Texas,5th,5SR,5117,190,4.50 (1.58),9 3/8,29 1/2,72 3/4,23.18
14,Robert Spears-Jennings,Oklahoma,5th,4SR,6017,205,4.32 (1.51),10 3/8,32 1/2,79 1/4,22.24
15,Deshon Singleton,Nebraska,5th-6th,5SR,6030,206,4.57 (1.64),10,32 7/8,80 1/4,23.21
16,Dalton Johnson,Arizona,5th-6th,5SR,5107,192,4.41 (1.59),9 1/2,30 7/8,74 3/4,23.02
17,Jalen Huskey,Maryland,6th,4SR,6012,192,4.55 (1.54),10 1/4,30 7/8,75 3/4,22.95
18,Bishop Fitzgerald,USC,6th,5SR,5110,201,4.55 (1.58),9 5/8,31 1/4,74 1/8,22.78
19,Louis Moore,Indiana,6th-7th,7SR,5106,190,4.63 (1.59),9 7/8,30,72 3/4,25.23
20,Skyler Thomas,Oregon State,7th,5SR,6016,210,4.60 (1.59),9 1/2,32 1/8,78 3/4,22.60
21,Cole Wisniewski,Texas Tech,7th-FA,6SR,6032,219,DNP (DNP),9 5/8,30 1/2,75 1/2,24.12
22,Ahmaad Moses,SMU,7th-FA,4SR,5093,196,DNP (DNP),9 1/8,30 3/8,74 1/4,21.87
23,Xavier Nwankpa,Iowa,7th-FA,5SR,6024,208,4.48 (1.62),8 1/4,30 3/4,75 1/2,22.37 
24,Austin Brown,Wisconsin,7th-FA,4SR,5116,199,4.50 (1.61),9 1/4,32 1/8,75 7/8,22.49
25,Kapena Gushiken,Ole Miss,FA,5SR,5097,189,4.33 (1.49),9 1/8,29 3/8,73 1/8,23.69 
26,Miles Scott,Illinois,FA,5SR,6002,203,4.62 (1.63),10 3/8,31,76 1/2,24.07
27,Jalen Stroman,Notre Dame,FA,5SR,6003,203,4.70 (1.67),8 7/8,31 5/8,76 1/4,22.92
28,Larry Worth III,Arkansas,FA,5SR,6036,220,4.62 (1.57),8 7/8,33 1/8,78,21.56
