RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Sonny Styles,Ohio State,1st,4SR,6050,244,4.46 (1.56),10,32 7/8,80 7/8,21.41
2,Jacob Rodriguez,Texas Tech,2nd,5SR,6013,231,4.57 (1.59),9 1/4,31 1/8,74 5/8,23.63
3,CJ Allen,Georgia,2nd,3JR,6006,230,DNP (DNP),10 1/8,32,75 1/2,21.15
4,Jake Golday,Cincinnati,2nd-3rd,5SR,6045,239,4.62 (1.59),9 5/8,31 7/8,76 7/8,22.92
5,Anthony Hill Jr.,Texas,2nd-3rd,3JR,6020,238,4.51 (1.58),9 3/4,32 5/8,79,21.19
6,Josiah Trotter,Missouri,3rd,3SO,6017,237,DNP (DNP),10 1/4,32 1/4,77 1/2,21.02
7,Kyle Louis,Pittsburgh,3rd,4JR,5117,220,4.53 (1.58),9 1/2,31 1/2,76 1/8,22.12
8,Keyshaun Elliott,Arizona State,3rd,4SR,6016,233,4.58 (1.66),9 1/4,31 1/4,76,22.36
9,Kaleb Elarms-Orr,TCU,3rd-4th,5SR,6020,234,4.47 (1.59),9 1/4,31 5/8,76,22.65
10,Bryce Boettcher,Oregon,4th,6SR,6012,230,4.69 (1.63),9 1/4,31 1/4,75 1/8,23.79
11,Jimmy Rolder,Michigan,4th,4JR,6024,238,DNP (DNP),9 3/4,30 1/2,77 3/8,22.20
12,Red Murdock,Buffalo,4th-5th,4SR,6017,233,4.75 (1.63),10 3/8,31 1/8,77 5/8,22.58
13,Aiden Fisher,Indiana,5th,4SR,6007,230,4.76 (1.63),9 5/8,31 5/8,77 3/8,22.33
14,Jack Kelly,BYU,5th,5SR,6015,240,4.57 (1.61),9 1/8,31 3/8,77 3/8,23.30
15,Justin Jefferson,Alabama,5th-6th,5SR,6003,215,4.53 (1.55),10,31 7/8,77 3/4,23.09
16,Harold Perkins Jr.,LSU,5th-6th,4JR,6007,220,4.45 (1.56),8 1/4,31 1/2,77 1/2,21.62
17,Kendal Daniels,Oklahoma,6th,5SR,6050,242,4.76 (1.70),9 1/2,32 3/4,79 1/2,23.35
18,Wade Woodaz,Clemson,6th,4SR,6033,234,4.56 (1.55),10 1/8,32 3/4,80,22.21
19,Owen Heinecke,Oklahoma,6th,5SR,6014,227,4.62 (1.62),9 3/4,30 1/2,74 1/2,23.09
20,Taurean York,Texas A&M,6th-7th,3JR,5106,226,4.59 (1.62),8 5/8,30 1/8,75 3/8,20.84
21,Deontae Lawson,Alabama,6th-7th,5SR,6027,224,DNP (DNP),9 3/8,32,78 1/4,23.19
22,Xavian Sorey Jr.,Arkansas,6th-7th,5SR,6020,228,4.62 (1.65),9 3/4,31 7/8,77 7/8,24.04
23,Jackson Kuwatch,Miami (Ohio),7th,5SR,604,232,4.64 (1.50),9 1/8,30 1/2,75 3/4,22.93
24,Karson Sharar,Iowa,7th,5SR,6014,231,4.56 (1.59),10 3/8,31 3/4,76 3/4,23.13
25,Jaden Dugger,Louisiana,7th,4SR,6046,242,4.60 (1.61),9 5/8,35,84 3/8,22.15
26,Lander Barton,Utah,7th-FA,4SR,6045,232,4.79 (1.64),9 5/8,32 5/8,80,22.31
27,Scooby Williams,Texas A&M,7th-FA,5SR,6022,231,DNP (DNP),9 1/4,32,79 1/4,23.24
28,Namdi Obiazor,TCU,7th-FA,6SR,6026,229,4.53 (1.56),10 1/2,31 1/8,76,24.01
29,Ernest Hausmann,Michigan,7th-FA,4SR,6010,226,4.77 (1.62),9 1/8,32 5/8,77 3/4,22.6
30,Wesley Bissainthe,Miami,FA,4SR,6016,224,4.63 (1.57),9 3/4,32,77 3/4,21.92
31,Eric Gentry,USC,FA,5SR,6065,228,4.59 (1.63),10 1/2,35 3/4,86 1/4,22.93
32,Khalil Jacobs,Missouri,FA,4SR,6010,227,4.77 (1.65),10 1/4,32 1/4,77 3/4,22.39
33,Shad Banks Jr.,UTSA,FA,5SR,5114,230,4.62 (1.70),9 1/8,31 3/4,77 3/8,23.07
34,West Weeks,LSU,FA,5SR,601,230,4.56 (1.55),9 1/4,30 1/4,76 1/8,23.69
35,Jack Dingle,Cincinnati,FA,5SR,6041,232,4.57 (1.57),9 1/4,31 3/4,76,22.91
