RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Olaivavega Ioane,Penn State,1st,4JR,6042,320,DNP (DNP),10 1/2,32 3/4,80 5/8,22.01
2,Chase Bisontis,Texas A&M,1st-2nd,3JR,6052,315,5.02 (1.76),9 3/4,32,79 1/2,21.87
3,Emmanuel Pregnon,Oregon,2nd-3rd,6SR,6043,314,5.21 (1.82),11,34 1/8,83,24.55
4,Keylan Rutledge,Georgia Tech,2nd-3rd,4SR,6035,316,5.05 (1.81),10,33 3/8,81 3/8,22.64
5,Gennings Dunker,lowa,3rc,5SR,6050,319,5.18 (1.83),10,33 5/8,82 1/8,22.96
6,Jalen Farmer,Kentucky,3rd-4th,4JR,6047,312,4.93 (1.75),9 1/4,34 1/4,82 5/8,21.74
7,Billy Schrauth,Notre Dame,3rd-4th,4JR,6046,310,DNP (DNP),10 1/4,33 1/8,80 7/8,22.62
8,Febechi Nwaiwu,Oklahoma,4th,5SR,6042,316,5.32 (1.89),9 5/8,34 3/4,82 3/4,23.18
9,Logan Taylor,Boston College,4th,5SR,6066,314,5.19 (1.82),10 1/2,34 3/8,83 3/8,24.21
10,Kage Casey,Boise State,4th-5th,4JR,6055,310,5.20 (1.85),10 1/4,33 1/4,80 7/8,22.53
11,Beau Stephens,lowa,4th-5th,5SR,6054,315,5.35 (1.82),9 3/8,31 5/8,77 3/4,23.47
12,Keagen Trost,Missouri,5th,7SF,6045,311,DNP (DNP),9 1/4,32 3/8,80 7/8,25.02
13,Alex Harkey,Oregon,5th,6SR,6055,313,5.20 (1.79),10 1/4,32 1/2,80 1/4,24.75
14,Anez Cooper,Miami,5th-6th,4SR,6057,342,5.52 (1.94),10,34 1/4,84 1/4,22.29
15,Evan Beerntsen,Northwestern,5th-6th,7SR,6034,301,5.25 (1.81),9 3/8,32 1/4,78 7/8,25.59
16,Caden Barnett,Wyoming,5th-6th,5SR,6037,316,5.03 (1.73),9 1/2,33 3/8,79 7/8,22.92
17,Jeremiah Wright,Auburn,5th-6th,6SR,6051,331,DNP (DNP),10,33 1/2,83 1/2,24.63
18,Fernando Carmona,Arkansas,6th,5SR,6045,316,5.22 (1.85),9 1/2,32 3/4,80 1/2,23.79
19,Carver Willis,Washington,6th,6SR,6050,303,5.11 (1.84),9 5/8,32 7/8,79,24.01
20,Ar'Maj Reed-Adams,Texas A&M,6th-7th,6SR,6056,314,5.28 (1.85),10,34 1/2,85,24.47
21,Dj Campbell,Texas,6th-7th,4SR,6030,313,5.01 (1.75),10 1/4,34 1/4,82 1/8,22.58
22,Garrett Digiorgio,UCLA,7th,5SR,6067,319,5.36 (1.86),10 1/8,33 3/8,79 5/8,23.05
23,Josh Gesky,Illinois,7th-FA,5SR,6051,308,5.03 (1.74),9 5/8,33,79 3/4,23.31
24,Micah Morris,Georgia,7th-FA,5SR,6052,334,5.09 (1.73),10 3/8,33 3/4,83 1/2,22.66
25,Dillon Wade,Auburn,7th-FA,6SR,6033,316,5.02 (1.73),10 1/4,31 7/8,79 1/4,23.92
26,Joshua Braun,Kentucky,7th-FA,6SR,6061,325,DNP (DNP),10 1/2,34 5/8,85 3/8,25.25
27,Jaeden Roberts,Alabama,FA,5SR,6052,345,5.26 (1.85),10 1/4,33 1/2,83 1/2,23.33
28,Ethan Onianwa,Ohio State,FA,5SR,6063,333,5.21 (1.84),10,34 3/8,83 3/8,22.68
29,Henry Lutovsky,Nebraska,FA,5SR,6061,319,5.16 (1.83),10 3/8,34,82 3/4,23.25
30,Sam Hagen,South Dakota State,FA,5SR,6061,320,DNP (DNP),9 5/8,32 7/8,80,22.66
