RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Spencer Fano,Utah,1st,3JF,6054,311,4.91 (1.72),9 1/4,32 7/8,801/4,21.47
2,Francis Mauigoa,Miami,1st,3JF,6054,327,5.13 (1.78),10 5/8,33 1/4,80 3/4,20.88
3,Monroe Freeling,Georgia,1st-2nd,3JF,6073,315,4.93 (1.71),10 3/4,34 3/4,84 3/4,21.74
4,Kadyn Proctor,Alabama,1st-2nd,3JF,6065,352,5.21 (1.84),9 7/8,33 3/8,81 5/8,20.88
5,Caleb Lomu,Utah,1st-2nd,3S0,6062,313,4.99 (1.74),9 5/8,33 3/4,82 3/4,21.33
6,Blake Miller,Clemson,1st-2nd,4SF,6066,317,5.04 (1.75),9 3/4,34 3/8,83 7/8,22.16
7,Max Iheanachor,Arizona State,1st-2nd,5SF,6057,321,4.91 (1.73),9,33 7/8,83 1/4,22.51
8,Caleb Tiernan,Northwestern,2nd-3rd,5SR,6075,323,DNP (DNP),9,32 3/8,79 1/2,23.25
9,Travis Burke,Memphis,3rd,5SF,6087,325,5.17 (1.79),10 1/8,35 1/8,83 3/8,23.29
10,Markel Bell,Miami,3rd-4th,4SR,6092,346,5.36 (1.84),9,36 3/8,87 1/8,21.76
11,Austin Barber,Florida,3rd-4th,5SF,6067,318,5.12 (1.76),9 5/8,33 3/4,81 3/8,22.92
12,Diego Pounds,Ole Miss,4th,5SR,6060,325,5.15 (1.77),9 7/8,33 3/4,84 1/4,23.36
13,Jude Bowry,Boston College,4th-5th,4JF,6051,314,5.08 (1.75),10 3/4,34,82 1/4,22.68
14,Dametrious Crownover,Texas A&M,4th-5th,5SF,6072,319,5.14 (1.79),10,35 3/4,86,24.61
15,Drew Shelton,Penn State,5th,4SR,6051,313,5.16 (1.79),9 5/8,33 3/8,82 3/8,22.32
16,Isaiah World,Oregon,5th-6th,5SR,6054,323,DNP (DNP),9 3/4,34 1/2,81,22.60
17,Enrique Cruz Jr.,Kansas,6th,5SF,6054,313,4.94 (1.74),10 3/8,34 7/8,82 3/4,22.72
18,J.C. Davis,Illinois,6th-7th,5SR,6043,322,5.16 (1.78),10 1/4,34 5/8,83 3/8,22.54
19,Fa'alili Fa'amoe,Wake Forest,6th-7th,6SF,6055,314,5.23 (1.79),10 5/8,33 7/8,82,24.23
20,Aamil Wagner,Notre Dame,7th,4JF,6057,306,5.01 (1.79),10 1/4,35 1/8,83 5/8,22.54
21,Alan Herron,Maryland,7th-FA,4SF,6052,308,5.09 (183),9 3/8,33 1/8,81 3/8,23.12
22,Nolan Rucci,Penn State,7th-FA,5SR,6083,314,5.44 (1.92),10 3/8,34,83 1/2,23.72
23,Jayden Williams,Ole Miss,7th-FA,5SF,6044,307,5.00 (1.80),9 1/2,33 1/2,81 7/8,23.04
24,Riley Mahlman,Wisconsin,FA,5SF,6083,308,DNP (DNP),9 1/8,32 1/4,79 1/2,23.31
25,Tristan Leigh,Clemson,FA,5SF,6045,312,DNP (DNP),9 1/4,34 3/8,83 7/8,22.99
26,Gavin Ortega,Weber State,FA,4SR,6050,304,5.10 (1.76),10,33,81 5/8,21.98
27,James Neal III,Iowa State,FA,5SR,6047,323,5.18 (1.78),9 3/4,34 1/4,84 3/8,23.10
28,Micah Pettus,Florida State,FA,5SR,6067,335,5.52 (193),10 1/8,34 3/8,84 1/2,23.36
29,Kahlil Benson,Indiana,FA,6SR,6057,321,5.08 (1.80),10 1/4,34 5/8,81 3/4,23.67
30,Chris Adams,Memphis,FA,5SF,6051,309,6.00 (1.98),10 3/8,34,15 3/4,23.54
