RANK,NAME,SCHOOL,GRADE,YEAR,HEIGHT,WEIGHT,40-YD (10-YD),HAND SIZE,ARM LENGTH,WING SPAN,AGE
1,Jeremiyah Love,Notre Dame,1st,3JR,6000,212,4.36 (1.53),9 1/4,32 1/8,78 5/8,20.9
2,Jadarian Price,Notre Dame,2nd-3rd,4JR,5105,203,4.49 (1.61),9 5/8,31.375,76 1/2,22.54
3,Mike Washington Jr.,Arkansas,3rd,5SR,6010,223,4.33 (1.51),9 1/4,33.75,82,22.81
4,Emmett Johnson,Nebraska,3rd-4th,4JR,5104,205,4.49 (1.59),9 3/4,30 1/4,74.375,22.53
5,Kaytron Allen,Penn State,4th,4SR,5113,216,DNP (DNP),9 1/2,29 1/2,72 3/4,23.29
6,Jonah Coleman,Washington,4th-5th,4SR,5081,220,DNP (DNP),9 1/8,29 3/8,71 1/8,22.67
7,Demond Claiborne,Wake Forest,4th-5th,4SR,5096,188,4.37 (1.59),,30 1/8,72 7/8,22.54
8,Nicholas Singleton,Penn State,5th,4SR,6002,219,DNP (DNP),9 3/8,31,77 7/8,22.29
9,Eli Heidenreich,Navy,5th,4SR,6000,198,4.44 (1.53),9 1/2,29 1/4,73 1/4,22.74
10,Kaelon Black,Indiana,5th-6th,6SR,5092,211,4.45 (1.53),8 7/8,29 1/8,71 3/4,24.52
11,J'Mari Taylor,Virginia,6th,6SR,5097,197,4.63 (1.63),9 1/4,30,72 7/8,24.21
12,Le'Veon Moss,Texas A&M,6th,4SR,5110,211,4.58 (1.56),9 1/2,31 3/8,76 1/8,23.44
13,Seth McGowan,Kentucky,6th-7th,6SR,6002,223,4.49 (1.60),9,31 3/8,77 1/8,24.5
14,Noah Whittington,Oregon,6th-7th,6SR,5082,205,DNP (DNP),8 3/8,29 5/8,70 7/8,24.36
15,Jam Miller,Alabama,6th-7th,4SR,5102,209,4.42 (1.53),8 3/4,30 3/8,74 1/4,21.98
16,Roman Hemby,Indiana,7th,5SR,5117,208,4.54 (1.62),9 1/2,31,75 3/4,23.68
17,Max Bredeson,Michigan,7th,5SR,6020,252,DNP (DNP),10,30 1/8,74 7/8,23.55
18,Chip Trayanum,Toledo,7th-FA,6SR,5105,224,4.50 (1.60),9 3/4,31 1/2,74 3/8,24.3
19,Adam Randall,Clemson,7th-FA,4SR,6033,232,4.50 (1.60),9 3/4,32 7/8,79 3/4,21.77
20,Rahsul Faison,South Carolina,7th-FA,7SR,5110,206,4.62 (1.59),9 1/4,30 7/8,76 1/2,26.17
21,Jaydn Ott,Oklahoma,7th-FA,4SR,5110,198,4.46 (1.53),8 3/4,30 3/4,73 5/8,23.35
22,Robert Henry Jr.,UTSA,FA,5SR,5092,199,4.51 (1.56),9 3/8,30 3/8,72 1/8,24.31
23,Cj Donaldson,Ohio State,FA,4SR,6015,236,4.61 (1.63),9 3/4,32 1/8,79 1/4,21.79
24,Dean Connors,Houston,FA,4SR,5113,206,4.45 (1.57),9 1/4,29 5/8,71,22.65
25,Desmond Reid,Pittsburgh,FA,4SR,5062,176,4.58 (1.58),8 1/4,28 1/2,69 3/4,21.73
26,Cash Jones,Georgia,FA,5SR,5110,185,4.44 (1.54),8 3/4,31 1/8,74 1/8,24.05
27,Barika Kpeenu,North Dakota State,FA,5SR,5095,213,4.66 (1.59),9 3/8,32 1/4,74 3/8,23.38
28,Star Thomas,Tennessee,FA,6SR,5106,200,4.65 (1.63),8 3/4,31 1/8,73 1/4,24.54
34,Jamal Haynes,Georgia Tech,FA,3JR,5067,195,4.52 (1.53),8 5/8,28 1/8,68 7/8,22
46,Terion Stewart,Virginia Tech,FA,5SR,5057,219,4.56 (1.50),9 7/8,30 1/8,73 5/8,24.3
