"NAME","POSITION","SCHOOL","GRADE","NEXTGEN"
"Arvell Reese","EDGE","Ohio State","7.04","84"
"David Bailey","EDGE","Texas Tech","6.78","86"
"Mansoor Delane","CB","LSU","6.77","84"
"Fernando Mendoza","QB","Indiana","6.73","86"
"Jeremiyah Love","RB","Notre Dame","6.73","96"
"Carnell Tate","WR","Ohio State","6.71","77"
"Rueben Bain Jr.","EDGE","Miami","6.70","84"
"Francis Mauigoa","OT","Miami","6.48","77"
"Sonny Styles","LB","Ohio State","6.48","95"
"Caleb Downs","SAF","Ohio State","6.47","84"
"Makai Lemon","WR","USC","6.47","83"
"Kenyon Sadiq","TE","Oregon","6.46","93"
"Kadyn Proctor","OT","Alabama","6.45","79"
"Spencer Fano","OT","Utah","6.44","89"
"Jordyn Tyson","WR","Arizona State","6.43","86"
"Keldric Faulk","EDGE","Auburn","6.43","78"
"Akheem Mesidor","EDGE","Miami","6.42","78"
"KC Concepcion","WR","Texas A&M","6.42","77"
"Olaivavega Ioane","G","Penn State","6.41","80"
"Denzel Boston","WR","Washington","6.40","78"
"Jermod McCoy","CB","Tennessee","6.40","81"
"Zion Young","EDGE","Missouri","6.40","72"
"Anthony Hill Jr.","LB","Texas","6.39","81"
"Avieon Terrell","CB","Clemson","6.39","75"
"Emmanuel McNeil-Warren","SAF","Toledo","6.39","82"
"Kayden McDonald","DT","Ohio State","6.39","72"
"Omar Cooper Jr.","WR","Indiana","6.39","79"
"Caleb Lomu","OT","Utah","6.38","81"
"Cashius Howell","EDGE","Texas A&M","6.38","76"
"Colton Hood","CB","Tennessee","6.38","82"
"Jadarian Price","RB","Notre Dame","6.38","75"
"Monroe Freeling","OT","Georgia","6.38","81"
"Caleb Banks","DT","Florida","6.37","73"
"Dillon Thieneman","SAF","Oregon","6.37","80"
"Chris Brazzell II","WR","Tennessee","6.36","78"
"Emmanuel Pregnon","G","Oregon","6.36","80"
"Peter Woods","DT","Clemson","6.36","77"
"Chris Johnson","CB","San Diego State","6.35","80"
"Max Iheanachor","OT","Arizona State","6.35","76"
"Chase Bisontis","G","Texas A&M","6.34","78"
"Christen Miller","DT","Georgia","6.34","73"
"Jacob Rodriguez","LB","Texas Tech","6.34","78"
"Malachi Lawrence","EDGE","UCF","6.34","74"
"Blake Miller","OT","Clemson","6.33","81"
"Gabe Jacas","EDGE","Illinois","6.33","77"
"Jake Golday","LB","Cincinnati","6.33","83"
"Jalon Kilgore","SAF","South Carolina","6.32","74"
"Zachariah Branch","WR","Georgia","6.32","79"
"Skyler Bell","WR","Connecticut","6.31","78"
"Derrick Moore","EDGE","Michigan","6.30","69"
"Kyle Louis","LB","Pittsburgh","6.30","73"
"Max Klare","TE","Ohio State","6.30","76"
"Ty Simpson","QB","Alabama","6.30","74"
"A.J. Haulcy","SAF","LSU","6.29","84"
"CJ Allen","LB","Georgia","6.29","76"
"Germie Bernard","WR","Alabama","6.29","75"
"Josiah Trotter","LB","Missouri","6.29","70"
"Keylan Rutledge","G","Georgia Tech","6.29","79"
"T.J. Parker","EDGE","Clemson","6.29","78"
"Bud Clark","SAF","TCU","6.28","79"
"D'Angelo Ponds","CB","Indiana","6.28","81"
"De'Zhaun Stribling","WR","Mississippi","6.28","76"
"Jaishawn Barham","EDGE","Michigan","6.28","63"
"R Mason Thomas","EDGE","Oklahoma","6.28","69"
"Brandon Cisse","CB","South Carolina","6.27","79"
"Connor Lew","C","Auburn","6.27","76"
"Keionte Scott","CB","Miami","6.27","72"
"Malachi Fields","WR","Notre Dame","6.27","74"
"Treydan Stukes","SAF","Arizona","6.27","77"
"Antonio Williams","WR","Clemson","6.26","75"
"Domonique Orange","DT","Iowa State","6.26","67"
"Keyron Crawford","EDGE","Auburn","6.26","67"
"Sam Roush","TE","Stanford","6.26","74"
"Malik Muhammad","CB","Texas","6.25","73"
"Zxavian Harris","DT","Mississippi","6.25","67"
"Caleb Tiernan","OT","Northwestern","6.24","76"
"Chris Bell","WR","Louisville","6.24","79"
"Eli Stowers","TE","Vanderbilt","6.24","85"
"Joshua Josephs","EDGE","Tennessee","6.24","71"
"Lee Hunter","DT","Texas Tech","6.24","73"
"Mike Washington Jr.","RB","Arkansas","6.24","70"
"Gennings Dunker","G","Iowa","6.23","75"
"Sam Hecht","C","Kansas State","6.23","73"
"Tyler Onyedim","DT","Texas A&M","6.21","61"
"Brian Parker II","C","Duke","6.20","75"
"Ja'Kobi Lane","WR","USC","6.20","75"
"Jalen Farmer","G","Kentucky","6.20","78"
"Keith Abney II","CB","Arizona State","6.20","75"
"Logan Jones","C","Iowa","6.20","75"
"Trey Zuhn III","C","Texas A&M","6.20","75"
"Elijah Sarratt","WR","Indiana","6.19","78"
"Jadon Canady","CB","Oregon","6.19","65"
"Jimmy Rolder","LB","Michigan","6.19","68"
"Keagen Trost","OT","Missouri","6.19","75"
"Romello Height","EDGE","Texas Tech","6.19","74"
"Ted Hurst","WR","Georgia State","6.19","76"
"Anez Cooper","G","Miami","6.18","69"
"Dametrious Crownover","OT","Texas A&M","6.18","69"
"Dani Dennis-Sutton","EDGE","Penn State","6.18","79"
"DeMonte Capehart","DT","Clemson","6.18","71"
"Deion Burks","WR","Oklahoma","6.18","76"
"Bryce Lance","WR","North Dakota State","6.17","86"
"Nate Boerkircher","TE","Texas A&M","6.17","71"
"Justin Joly","TE","N.C. State","6.16","71"
"VJ Payne","SAF","Kansas State","6.16","69"
"Albert Regis","DT","Texas A&M","6.15","63"
"LT Overton","EDGE","Alabama","6.15","66"
"Zakee Wheatley","SAF","Penn State","6.15","68"
"Carson Beck","QB","Miami","6.14","74"
"Drew Shelton","OT","Penn State","6.14","71"
"Eli Raridon","TE","Notre Dame","6.14","70"
"Ephesians Prysock","CB","Washington","6.14","74"
"Jude Bowry","OT","Boston College","6.14","71"
"Adam Randall","RB","Clemson","6.13","74"
"Alex Harkey","G","Oregon","6.13","72"
"Diego Pounds","OT","Mississippi","6.13","69"
"Jack Endries","TE","Texas","6.13","71"
"Oscar Delp","TE","Georgia","6.13","76"
"Tacario Davis","CB","Washington","6.13","73"
"Trey Moore","EDGE","Texas","6.13","69"
"Will Lee III","CB","Texas A&M","6.13","71"
"Beau Stephens","G","Iowa","6.12","72"
"Jakobe Thomas","SAF","Miami","6.12","65"
"Joe Royer","TE","Cincinnati","6.12","68"
"Kaleb Elarms-Orr","LB","TCU","6.12","74"
"Will Kacmarek","TE","Ohio State","6.12","66"
"Daylen Everette","CB","Georgia","6.11","75"
"Enrique Cruz","OT","Kansas","6.11","72"
