"Link","Name","Pos","Year","College","RAS","ALLTIME"
"https://ras.football/ras-information/?PlayerID=31174&ovl=BYU","Garrison Grimes","LS","2026","BYU","10.00","10.00"
"https://ras.football/ras-information/?PlayerID=30165&ovl=Ohio+State","Lorenzo Styles Jr.","CB","2026","Ohio State","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=29867&ovl=Arkansas","Taylen Green","QB","2026","Arkansas","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=29994&ovl=Georgia","Monroe Freeling","OT","2026","Georgia","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=30474&ovl=Georgia+Tech","Jordan Van den Berg","DT","2026","Georgia Tech","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=29910&ovl=Cincinnati","Jeff Caldwell","WR","2026","Cincinnati","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=29987&ovl=Kansas","Enrique Cruz Jr.","OG","2026","Kansas","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=30114&ovl=Ohio+State","Sonny Styles","LB","2026","Ohio State","9.99","9.99"
"https://ras.football/ras-information/?PlayerID=30250&ovl=Virginia+Tech","Tomas Rimac","OG","2026","Virginia Tech","9.97","9.97"
"https://ras.football/ras-information/?PlayerID=32328&ovl=Arizona+State","Jeff Sims","QB","2026","Arizona State","9.97","9.97"
"https://ras.football/ras-information/?PlayerID=30017&ovl=Florida","Jake Slaughter","OC","2026","Florida","9.97","9.97"
"https://ras.football/ras-information/?PlayerID=30006&ovl=Georgia","Micah Morris","OG","2026","Georgia","9.96","9.96"
"https://ras.football/ras-information/?PlayerID=30026&ovl=Texas+AM","Trey Zuhn III","OT","2026","Texas A&M","9.96","9.96"
"https://ras.football/ras-information/?PlayerID=29933&ovl=Florida","J. Michael Sturdivant","WR","2026","Florida","9.96","9.96"
"https://ras.football/ras-information/?PlayerID=30040&ovl=Penn+State","Dani Dennis-Sutton","DE","2026","Penn State","9.96","9.96"
"https://ras.football/ras-information/?PlayerID=30035&ovl=Clemson","DeMonte Capehart","DT","2026","Clemson","9.96","9.96"
"https://ras.football/ras-information/?PlayerID=29923&ovl=North+Dakota+State","Bryce Lance","WR","2026","North Dakota State","9.95","9.95"
"https://ras.football/ras-information/?PlayerID=30063&ovl=Central+Florida","Malachi Lawrence","DE","2026","Central Florida","9.95","9.95"
"https://ras.football/ras-information/?PlayerID=30164&ovl=Arizona","Treydan Stukes","CB","2026","Arizona","9.95","9.95"
"https://ras.football/ras-information/?PlayerID=32043&ovl=Charlotte","Ja'Qurious Conley","SS","2026","Charlotte","9.94","9.94"
"https://ras.football/ras-information/?PlayerID=29964&ovl=Stanford","Sam Roush","TE","2026","Stanford","9.94","9.94"
"https://ras.football/ras-information/?PlayerID=30397&ovl=Florida","Rocco Underwood","LS","2026","Florida","9.93","9.93"
"https://ras.football/ras-information/?PlayerID=32300&ovl=Wake+Forest","Jayden Loving","DT","2026","Wake Forest","9.93","9.93"
"https://ras.football/ras-information/?PlayerID=32325&ovl=Arizona+State","Malik McCain","WR","2026","Arizona State","9.92","9.92"
"https://ras.football/ras-information/?PlayerID=30005&ovl=Clemson","Blake Miller","OT","2026","Clemson","9.90","9.90"
"https://ras.football/ras-information/?PlayerID=30374&ovl=Nigeria","Uar Bernard","DT","2026","Nigeria","9.90","9.90"
"https://ras.football/ras-information/?PlayerID=32585&ovl=Virginia+Tech","Kelvin Gilliam","DT","2026","Virginia Tech","9.90","9.90"
"https://ras.football/ras-information/?PlayerID=30730&ovl=Southern+Illinois","Noah Fenske","OC","2026","Southern Illinois","9.90","9.90"
